epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.56297,1.26401,2.8308,1.46868,0.00333,1,0.24875,0.1865,0.83013,3.38167,1.6489,0,0,0
2,7.13985,1.31343,2.75079,1.52217,0.00333,1,0.29,0.23609,0.80678,3.37923,1.64795,1.9604e-05,1.9604e-05,1.9604e-05
3,10.7634,1.12398,2.75545,1.51052,0.00333,1,0.35861,0.30061,0.79807,3.33127,1.72203,3.8416e-05,3.8416e-05,3.8416e-05
4,14.2291,0.92981,2.51059,1.42761,0.00333,1,0.57833,0.49563,0.7226,3.27429,1.75546,5.6436e-05,5.6436e-05,5.6436e-05
5,17.6155,0.79729,2.4643,1.3412,0.00333,1,0.595,0.50388,0.81645,3.23034,1.76681,7.3664e-05,7.3664e-05,7.3664e-05
6,21.1723,1.10577,2.52757,1.47376,0.00333,1,0.66167,0.529,0.78233,3.19854,1.76945,9.01e-05,9.01e-05,9.01e-05
7,24.5209,1.33532,2.51351,1.39399,0.00333,1,0.995,0.61563,0.70127,3.22133,1.76521,0.000105744,0.000105744,0.000105744
8,27.8543,1.25796,2.45319,1.45199,0.00333,1,0.995,0.62067,0.69455,3.18729,1.79184,0.000120596,0.000120596,0.000120596
9,31.2638,0.77084,1.96995,1.25745,0.00333,1,0.995,0.62067,0.69455,3.18729,1.79184,0.000134656,0.000134656,0.000134656
10,34.648,0.80599,2.08646,1.26081,0.00333,1,0.995,0.62067,0.74972,3.16601,1.84136,0.000147924,0.000147924,0.000147924
11,37.9176,0.68342,1.98895,1.13807,0.00333,1,0.995,0.62067,0.74972,3.16601,1.84136,0.0001604,0.0001604,0.0001604
12,41.2496,0.7411,1.78662,1.18536,0.00333,1,0.995,0.57113,0.89877,3.2041,1.90978,0.000172084,0.000172084,0.000172084
13,44.4474,1.39521,2.31824,1.5732,0.00333,1,0.995,0.57113,0.89877,3.2041,1.90978,0.000182976,0.000182976,0.000182976
14,48.053,0.91847,1.93385,1.16704,0.00333,1,0.82833,0.47529,1.12601,3.16198,2.02807,0.000193076,0.000193076,0.000193076
15,51.4539,0.93236,1.75666,1.28759,0.00333,1,0.82833,0.47529,1.12601,3.16198,2.02807,0.000202384,0.000202384,0.000202384
16,54.9388,0.62895,1.79106,1.09554,0.00333,1,0.82833,0.43706,1.33757,3.2481,2.24798,0.0002109,0.0002109,0.0002109
17,58.1298,1.14004,2.06145,1.42564,0.00333,1,0.82833,0.43706,1.33757,3.2481,2.24798,0.000218624,0.000218624,0.000218624
18,61.5074,0.84263,1.76488,1.16085,0.00333,1,0.66167,0.43193,1.52495,3.29931,2.36413,0.000225556,0.000225556,0.000225556
19,64.6243,0.67741,1.56554,1.15075,0.00333,1,0.66167,0.43193,1.52495,3.29931,2.36413,0.000231696,0.000231696,0.000231696
20,68.1858,0.65567,1.79237,1.10492,0.00333,1,0.58591,0.41948,1.54713,3.59776,2.16761,0.000237044,0.000237044,0.000237044
21,71.2958,1.12234,1.89763,1.26059,0.00333,1,0.58591,0.41948,1.54713,3.59776,2.16761,0.0002416,0.0002416,0.0002416
22,74.5543,0.88293,1.48925,1.27614,0.00333,1,0.57192,0.41488,1.56815,3.56745,2.1107,0.000245364,0.000245364,0.000245364
23,77.6955,1.05369,1.44328,1.3094,0.00333,1,0.57192,0.41488,1.56815,3.56745,2.1107,0.000248336,0.000248336,0.000248336
24,80.7381,0.69601,1.60755,1.20456,0.00333,1,0.57192,0.41488,1.56815,3.56745,2.1107,0.000250516,0.000250516,0.000250516
25,84.3998,0.6591,1.36885,1.12563,0.00333,1,0.5575,0.40429,1.39658,3.52699,1.96404,0.000251904,0.000251904,0.000251904
